Security;GTBRL1YR Corp                                                   ;;;Security;GTBRL2YR Corp                                                   ;;;Security;GTBRL3YR Corp                                                   ;;;Security;GTBRL4YR Corp                                                   ;
Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;
End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;
Period;M;;;Period;M;;;Period;M;;;Period;M;
Currency;BRL;;;Currency;BRL;;;Currency;BRL;;;Currency;BRL;
;;;;;;;;;;;;;;
Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST
30/11/2020;3,0097;3,0097;;29/01/2021;4,9323;4,9323;;30/07/2021;8,7577;8,7577;;30/09/2010;12,0125;12,0125
31/12/2020;3,36635;3,3664;;26/02/2021;5,7617;5,7617;;31/08/2021;9,58375;9,5838;;31/08/2010;11,6048;11,6048
29/01/2021;3,87585;3,8759;;31/03/2021;6,5524;6,5524;;30/09/2021;10,23735;10,2374;;30/07/2010;12,0274;12,0274
26/02/2021;4,3817;4,3817;;30/04/2021;6,45525;6,4553;;29/10/2021;12,22795;12,228;;30/06/2010;12,3224;12,3224
31/03/2021;5,17545;5,1755;;31/05/2021;6,8422;6,8422;;30/11/2021;11,43415;11,4342;;;;
30/04/2021;5,2272;5,2272;;30/06/2021;7,6967;7,6967;;31/12/2021;10,6758;10,6758;;;;
31/05/2021;5,68935;5,6894;;30/07/2021;8,3987;8,3987;;31/01/2022;11,24875;11,2488;;;;
30/06/2021;6,68195;6,682;;31/08/2021;9,04045;9,0405;;28/02/2022;11,40135;11,4014;;;;
30/07/2021;7,43915;7,4392;;30/09/2021;9,6988;9,6988;;31/03/2022;11,4886;11,4886;;;;
31/08/2021;8,03945;8,0395;;29/10/2021;12,45375;12,4538;;29/04/2022;12,29195;12,292;;;;
29/10/2021;12,03375;12,0338;;30/11/2021;11,7024;11,7024;;31/05/2022;12,533;12,533;;;;
30/11/2021;11,62335;11,6234;;31/12/2021;11,10395;11,104;;30/06/2022;12,9237;12,9237;;;;
31/12/2021;11,80225;11,8023;;31/01/2022;11,8413;11,8413;;29/07/2022;12,84195;12,842;;;;
31/01/2022;12,28;12,28;;28/02/2022;12,05045;12,0505;;31/08/2022;12,014;12,014;;;;
28/02/2022;12,4779;12,4779;;31/03/2022;12,15945;12,1595;;30/09/2022;11,6781;11,6781;;;;
31/03/2022;12,74505;12,7451;;29/04/2022;12,6912;12,6912;;;;;;;;
29/04/2022;13,0587;13,0587;;31/05/2022;12,98942;12,9894;;;;;;;;
31/05/2022;13,41222;13,4122;;30/06/2022;13,50691;13,5069;;;;;;;;
30/06/2022;13,77745;13,7775;;29/07/2022;13,44953;13,4495;;;;;;;;
29/07/2022;13,82025;13,8203;;31/08/2022;12,3222;12,3222;;;;;;;;
31/08/2022;13,36865;13,3687;;30/09/2022;11,88755;11,8875;;;;;;;;
30/09/2022;13,1672;13,1672;;;;;;;;;;;;
